,index,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,5,5.584086638456089,188.3133237696164,28748.68773904612,7.54486878877965,326.6783629116736,280.4679159334877,8.399734640152758,54.91786184199447,2.5597082275565217,28937.001062815736,0.0,0.02309570946350835,0.0065077000652470325,0.0
1,6,10.223862164528772,248.07173527013992,28749.716543528237,7.5134084658313025,393.66339551509645,283.6516335078445,13.789695317519886,84.60355617402357,2.672988736934779,28997.788278798376,2.0,0.01908586970638086,0.00855485021131657,0.0
2,9,11.180284470721592,227.23146923797455,25484.50849098786,9.077200016914391,404.04163468409,563.8854814810949,17.92780641128502,71.97660103221915,4.370561936655497,25711.739960225834,2.0,0.022466001057914773,0.008837654297262975,0.0
3,10,7.360640105838258,165.52079725952862,32452.614409143884,7.550700906704114,326.62435345560164,425.3834194953873,15.586810438033126,78.74001566430479,3.662291782852457,32618.13520640341,1.0,0.02311738422333118,0.0050745021492304525,0.0
4,13,7.080794504276835,150.1749233951362,27331.36196192776,6.838223470687509,299.41578134685847,379.7618348257725,19.370807181232124,76.5099955279583,4.413974182974902,27481.536885322897,1.0330459770114941,0.02283855317024934,0.005464575142473003,0.0
5,14,7.49623220797336,205.34498215818516,28388.00488673697,5.072557773840631,333.7757766108135,444.6453523327066,13.228311099224529,70.30021264692436,4.777382337225378,28593.349868895155,1.0,0.02166868670033744,0.007181564350728663,0.0
6,15,6.347271760539316,186.73288066057611,41065.23476453935,9.629596276480584,364.4876872467604,516.743281893657,11.53978119153942,75.07161728663777,4.376348290691898,41251.967645199926,0.0,0.0264195372003497,0.0045266417888562924,0.0
7,16,7.051785800016845,211.04940606054575,30980.600786788866,10.094796011661426,333.7757766108135,315.1412672443021,20.39702184072246,56.65160378979331,4.268428857506186,31191.65019284941,1.0,0.02166868670033744,0.006766214826340481,0.0
8,17,9.181560007151536,273.81380665980095,24041.32628006128,6.904989726470096,398.3505168222779,477.9746418621779,13.387340780225545,71.4573622129516,4.503660796179122,24315.14008672108,2.0,0.017333954046835548,0.011261041703671903,0.0
9,19,7.371050302429531,214.49661045715655,25630.320036999725,4.432669290372123,335.75443859606526,469.9145514792359,12.509163940498697,62.79727715266126,2.5602991476149146,25844.816647456882,1.0,0.013202116335038995,0.008299405381746783,0.0
10,21,6.660212026118103,168.28374685651832,30944.363591242687,5.858769130547582,310.93085831787846,523.6712975009444,17.88423519296481,77.0423180517003,3.7497012410996176,31112.647338099207,1.0,0.018842674457647937,0.0054088533506551455,0.0
11,26,3.4450618643852127,207.92626018799376,33424.7686784948,8.782147480773485,384.0070058017212,441.7858756739387,13.80590221127079,30.284597198002704,4.184396969028851,33632.6949386828,0.0,0.02286975789345493,0.006182265813228774,0.0
12,28,7.080794504276835,266.4210180681174,26362.965012309312,7.700063469729127,395.3894903418456,364.48010670373776,10.34895075743782,53.00838135392041,3.9915642477993063,26629.38603037743,1.0330459770114941,0.019474628089698416,0.010004775088098175,0.0
13,33,7.414148196336244,235.04453448737107,32555.85253707369,6.845952023844903,387.1753164773568,411.983364167012,10.2448150683598,44.48929725226032,3.160624468232638,32790.89707156106,1.0,0.01768178795413317,0.007167981220603477,0.0
14,36,3.641629777473381,183.9087222618269,24752.072459755404,5.538314133481364,286.0595560492713,456.8600959410411,9.03406675271333,73.5946567566564,3.464353035155024,24935.98118201723,0.0,0.0193607024228214,0.007375235040709035,0.0
15,39,9.267187530763549,198.614394719096,24683.723566029654,6.110612421393192,328.0775332014693,396.8769490579176,16.471969353155146,30.383314574642014,4.324004645618281,24882.33796074875,2.0,0.018625512620474374,0.007982143597301173,0.0
16,42,7.145771545218821,238.68992851166007,28780.340431632725,6.81402870120907,385.9756504867898,332.0327063306858,11.093163397452656,66.13804474710018,5.182590703980226,29019.030360144385,1.0,0.0176540372846704,0.008225289593315673,0.0
17,45,5.702925976824722,216.8504738726152,35606.44017680798,7.1843510891688,333.7757766108135,504.63826042575033,16.140790019197993,77.53618351780308,4.137739016206605,35823.290650680596,0.0,0.02166868670033744,0.006053337643563516,0.0
18,48,7.080794504276835,129.89057234567383,34415.853145873094,6.321928990361139,304.5352242338838,470.3291685421987,18.59940992382127,72.40363386888095,4.40558600033858,34545.74371821877,1.0330459770114941,0.02075926946931166,0.003759958777195826,0.0
19,50,7.080794504276835,168.38843077429533,27492.30730658781,7.046224797696413,299.8204779108216,383.7950199903258,16.18206649367437,75.72943388991457,3.048057223106976,27660.695737362104,1.0330459770114941,0.02350147865742997,0.0060876426360444635,0.0
20,55,7.484254837727466,260.09217257337195,30616.615148853696,9.379133540507624,333.7757766108135,404.6707773281626,15.934483871207078,66.6210265451665,4.781188176562564,30876.707321427068,1.0,0.02166868670033744,0.008423572169842209,0.0
